date,leg,market_p,my_p,outcome
2026-08-10,NYM@ATL F5 U8.5,0.883,0.883,lost
2026-08-11,CHC@WSH F5 U9.5,0.917,0.917,lost
2026-08-11,Kunneman sub-or-points DC,0.394,0.530,lost
2026-08-11,Pagliarulo KO-or-points DC,0.313,0.494,won
2026-08-11,Hasan by KO,0.771,0.730,won
2026-08-11,Hasan KO round 1,0.714,0.400,won
2026-08-11,Escarrega by KO,0.350,0.410,lost
2026-08-11,Escarrega ML (winner call),0.550,0.550,won
2026-08-12,18-leg SGP+ +127 (whole slip),0.4412,0.3898,won
2026-08-12,PIT@MIA F5 Under 10.5,0.9687,0.9687,won
2026-08-12,CLE@DET F5 Under 10.5,0.9658,0.9658,won
2026-08-12,CHC@WSH F5 Under 11.5,0.9658,0.9658,won
2026-08-12,SEA@NYY F5 Under 10.5,0.9613,0.9613,won
2026-08-12,BOS@TOR F5 Under 9.5,0.9613,0.9613,won
2026-08-12,NYM@ATL F5 Under 11.5,0.9793,0.9793,won
2026-08-12,CIN@CWS F5 Under 10.5,0.9561,0.9561,won
2026-08-12,TEX@LAA F5 Under 11.5,0.9726,0.9726,won
2026-08-12,KC@LAD F5 Under 11.5,0.9613,0.9613,won
2026-08-12,Under 6.5 goals (ASL-OC),0.9620,0.9620,won
2026-08-12,Orlando City SC DC (derived),0.8154,0.8154,won
2026-08-12,Under 7.5 goals (Dallas-Toluca),0.9853,0.9853,won
2026-08-12,Toluca DC (derived),0.8912,0.8912,won
2026-08-12,Under 6.5 goals (Puebla-SD),0.9660,0.9660,won
2026-08-12,San Diego FC DC (derived),0.8226,0.8226,won
2026-08-12,Under 6.5 goals (IM-León),0.9796,0.9796,won
2026-08-12,Under 6.5 goals (Guadalajar-SS),0.9818,0.9818,won
2026-08-12,Under 6.5 goals (LA-Querétaro),0.9660,0.9660,won
2026-08-14,Joel Alvarez by KO/TKO or Submission (v Njokuani),0.47,0.47,open
2026-08-14,Mansur Abdul Malik by KO/TKO (v Stoltzfus),0.4,0.4,open
2026-08-14,Kaue Fernandes by KO/TKO (v Turner),0.2,0.2,open
2026-08-14,Islam Makhachev by Points (v Garry),0.35,0.35,open
