date,grp,fam,lab,side,line,price,p,logged
2026-08-13,MIL@LAD,F5,MIL@LAD F5 Over 2.5,Over,2.5,-440,0.7606,2026-08-13T20:54Z
2026-08-13,MIL@LAD,F5,MIL@LAD F5 Over 3.5,Over,3.5,-215,0.6378,2026-08-13T20:54Z
2026-08-13,MIL@LAD,F5,MIL@LAD F5 Over 4.5,Over,4.5,-118,0.5061,2026-08-13T20:54Z
2026-08-13,MIL@LAD,F5,MIL@LAD F5 Under 10.5,Under,10.5,-4000,0.9148,2026-08-13T20:54Z
2026-08-13,MIL@LAD,F5,MIL@LAD F5 Under 4.5,Under,4.5,-112,0.4939,2026-08-13T20:54Z
2026-08-13,MIL@LAD,F5,MIL@LAD F5 Under 5.5,Under,5.5,-192,0.6141,2026-08-13T20:54Z
2026-08-13,MIL@LAD,F5,MIL@LAD F5 Under 6.5,Under,6.5,-320,0.7123,2026-08-13T20:54Z
2026-08-13,MIL@LAD,F5,MIL@LAD F5 Under 7.5,Under,7.5,-550,0.792,2026-08-13T20:54Z
2026-08-13,MIL@LAD,F5,MIL@LAD F5 Under 8.5,Under,8.5,-1000,0.8493,2026-08-13T20:54Z
2026-08-13,MIL@LAD,F5,MIL@LAD F5 Under 9.5,Under,9.5,-2000,0.8901,2026-08-13T20:54Z
2026-08-13,MIL@LAD,FG,MIL@LAD Over 6.5,Over,6.5,-235,0.6626,2026-08-13T20:54Z
2026-08-13,MIL@LAD,FG,MIL@LAD Over 7.5,Over,7.5,-140,0.5506,2026-08-13T20:54Z
2026-08-13,MIL@LAD,FG,MIL@LAD Under 10.5,Under,10.5,-280,0.6955,2026-08-13T20:54Z
2026-08-13,MIL@LAD,FG,MIL@LAD Under 11.5,Under,11.5,-430,0.7644,2026-08-13T20:54Z
2026-08-13,MIL@LAD,FG,MIL@LAD Under 12.5,Under,12.5,-620,0.8115,2026-08-13T20:54Z
2026-08-13,MIL@LAD,FG,MIL@LAD Under 13.5,Under,13.5,-1000,0.8571,2026-08-13T20:54Z
2026-08-13,MIL@LAD,FG,MIL@LAD Under 14.5,Under,14.5,-1600,0.8889,2026-08-13T20:54Z
2026-08-13,MIL@LAD,FG,MIL@LAD Under 8.5,Under,8.5,-128,0.5289,2026-08-13T20:54Z
2026-08-13,MIL@LAD,FG,MIL@LAD Under 9.5,Under,9.5,-200,0.6287,2026-08-13T20:54Z
2026-08-13,PHI@MIN,F5,PHI@MIN F5 Over 2.5,Over,2.5,-440,0.7606,2026-08-13T20:54Z
2026-08-13,PHI@MIN,F5,PHI@MIN F5 Over 3.5,Over,3.5,-225,0.6464,2026-08-13T20:54Z
2026-08-13,PHI@MIN,F5,PHI@MIN F5 Over 4.5,Over,4.5,-125,0.5192,2026-08-13T20:54Z
2026-08-13,PHI@MIN,F5,PHI@MIN F5 Under 10.5,Under,10.5,-3500,0.9084,2026-08-13T20:54Z
2026-08-13,PHI@MIN,F5,PHI@MIN F5 Under 4.5,Under,4.5,-106,0.4808,2026-08-13T20:54Z
2026-08-13,PHI@MIN,F5,PHI@MIN F5 Under 5.5,Under,5.5,-186,0.6075,2026-08-13T20:54Z
2026-08-13,PHI@MIN,F5,PHI@MIN F5 Under 6.5,Under,6.5,-310,0.7076,2026-08-13T20:54Z
2026-08-13,PHI@MIN,F5,PHI@MIN F5 Under 7.5,Under,7.5,-490,0.7772,2026-08-13T20:54Z
2026-08-13,PHI@MIN,F5,PHI@MIN F5 Under 8.5,Under,8.5,-900,0.8415,2026-08-13T20:54Z
2026-08-13,PHI@MIN,F5,PHI@MIN F5 Under 9.5,Under,9.5,-1600,0.8801,2026-08-13T20:54Z
2026-08-13,PHI@MIN,FG,PHI@MIN Over 6.5,Over,6.5,-280,0.6955,2026-08-13T20:54Z
2026-08-13,PHI@MIN,FG,PHI@MIN Over 7.5,Over,7.5,-158,0.5784,2026-08-13T20:54Z
2026-08-13,PHI@MIN,FG,PHI@MIN Over 8.5,Over,8.5,-111,0.4958,2026-08-13T20:54Z
2026-08-13,PHI@MIN,FG,PHI@MIN Under 10.5,Under,10.5,-250,0.6744,2026-08-13T20:54Z
2026-08-13,PHI@MIN,FG,PHI@MIN Under 11.5,Under,11.5,-390,0.7515,2026-08-13T20:54Z
2026-08-13,PHI@MIN,FG,PHI@MIN Under 12.5,Under,12.5,-520,0.7905,2026-08-13T20:54Z
2026-08-13,PHI@MIN,FG,PHI@MIN Under 13.5,Under,13.5,-900,0.848,2026-08-13T20:54Z
2026-08-13,PHI@MIN,FG,PHI@MIN Under 14.5,Under,14.5,-1400,0.8792,2026-08-13T20:54Z
2026-08-13,PHI@MIN,FG,PHI@MIN Under 8.5,Under,8.5,-115,0.5042,2026-08-13T20:54Z
2026-08-13,PHI@MIN,FG,PHI@MIN Under 9.5,Under,9.5,-180,0.6067,2026-08-13T20:54Z
